ID,Idnum,Link,VideoName,YouTubeChannel,AthleteName,AthleteSurname,AthleteNat,AthleteGender,AthleteBib,AthleteSpeed,AthleteScore,AthleteDistance,AthleteJdgA,AthleteJdgB,AthleteJdgC,AthleteJdgD,AthleteJdgE,AthleteGate,HillLocation,HillNat,HillK,HillHS,Time,Weather,Season,Date,ResultsLink,
JP0001,1,https://www.youtube.com/watch?v=vvuMhBz9vdg,Sara Takanashi (JPN) | Winner | Women's Normal Hill | Ljubno | FIS Ski Jumping,FIS Ski Jumping,Sara,Takanashi,JPN,W,2,85.4,132.4,89,16.5,16.5,16.5,17,15.5,17,Ljubno,SLO,85,94,Night,Clear,2122,20220101,,
JP0002,2,https://www.youtube.com/watch?v=zwvsw3uHUJY,Ryoyu Kobayashi (JPN) | Winner | Men's Large Hill | Garmisch | FIS Ski Jumping,FIS Ski Jumping,Ryoyu,Kobayashi,JPN,M,2,89.4,142.4,135.5,19,18.5,18.5,18.5,18.5,12,GarmischPartenkirchen,GER,125,142,Day,Overcast,2122,20220101,,
JP0003,3,https://www.youtube.com/watch?v=TbAFSbZsYmQ,Karl Geiger (GER) | Winner | Men's Large Hill Highlights | Engelberg | FIS Ski Jumping,FIS Ski Jumping,Karl,Geiger,GER,M,50,90.9,144.4,140,19.5,18,18,18.5,18.5,15,Engelberg,SUI,125,140,Night,Clear,2122,20211218,,
JP0004,4,https://www.youtube.com/watch?v=BYaCD3xzTvc,Stefan Kraft (AUT) | Winner | Men's Large Hill | Klingenthal | FIS Ski Jumping,FIS Ski Jumping,Stefan,Kraft,AUT,M,47,91.8,127.8,130,18.5,18.5,18.5,18.5,18.5,16,Klingenthal,GER,125,140,Night,Fog,2122,20211211,,
JP0005,5,https://www.youtube.com/watch?v=GlbykvRlw7c,Marita Kramer (AUT) | Winner | Women's Large Hill | Klingenthal | FIS Ski Jumping,FIS Ski Jumping,Marita,Kramer,AUT,W,40,92.1,127.9,134,18,18.5,18,17.5,17.5,20,Klingenthal,GER,125,140,Day,Clouds,2122,20211211,,
JP0006,6,https://www.youtube.com/watch?v=WLOJ1nNEUAg,Jan Hoerl (AUT) | Winner | Men's Large Hill | Wisla | FIS Ski Jumping,FIS Ski Jumping,Jan,Hoerl,AUT,M,26,87.9,138.5,128,18.5,18.5,19,19,19,10,Wisla,POL,120,134,Night,Clear,2122,20211205,,
JP0007,7,https://www.youtube.com/watch?v=dC5etStDgPY,Katharina Althaus (GER) | Winner | Women's Normal Hill | Lillehammer | FIS Ski Jumping,FIS Ski Jumping,Katharina,Althaus,GER,W,37,84,132.8,95.5,18.5,18.5,18.5,18,18,8,Lillehammer,NOR,90,98,Night,Clear,2122,20211204,,
JP0008,8,https://www.youtube.com/watch?v=cvhTHqazM64,Anze Lanisek (SLO) | Winner | Men's Large Hill | Ruka | FIS Ski Jumping,FIS Ski Jumping,Anze,Lanisek,SLO,M,67,88.9,141.8,135,18.5,18.5,18.5,18.5,18.5,16,Ruka,FIN,120,142,Night,Clear,2122,20211128,,
JP0009,9,https://www.youtube.com/watch?v=o7iuL-czOJc,Ema Klinec (SLO) | Winner | Women's Normal Hill | Nizhny Tagil | FIS Ski Jumping,FIS Ski Jumping,Ema,Klinec,SLO,W,64,84.4,120.9,97,18,18,18.5,18,18,11,NizhnyTagil,RUS,90,97,Night,Clear,2122,20211127,,
JP0010,10,https://www.youtube.com/watch?v=K1S8bo3IeHk,Halvor Egner Granerud (NOR) | Winner | Men's Large Hill | Nizhny Tagil | FIS Ski Jumping,FIS Ski Jumping,HalvorEgner,Granerud,NOR,M,68,85.4,112.8,122,18,18,18,18,18,6,NizhnyTagil,RUS,120,134,Night,Snowing,2122,20211121,,
JP0011,11,https://www.youtube.com/watch?v=3PF_eZv877k,Marita Kramer | 1st place (146.5 mt. - New Hill Record) | Chaikovsky | Women's LH | FIS Ski Jumping,FIS Ski Jumping,Marita,Kramer,AUT,W,29,90.1,136.1,146.5,16,16,16.5,16.5,16.5,11,Chaikovsky,RUS,125,140,Day,Clear,2021,20210328,,
JP0012,12,https://www.youtube.com/watch?v=ScFjalu1bfo,Karl Geiger | 1st place | Planica | Flying Hill #3 | FIS Ski Jumping,FIS Ski Jumping,Karl,Geiger,GER,M,29,104.1,220.5,232.5,18.5,19,19.5,19.5,19.5,12,Planica,SLO,200,240,Day,LowClouds,2021,20210328,,
JP0013,13,https://www.youtube.com/watch?v=RRhbv9Ilgl4,Ryoyu Kobayashi | 1st place | Planica | Flying Hill | FIS Ski Jumping,FIS Ski Jumping,Ryoyu,Kobayashi,JPN,M,33,106,228.3,244.5,17,16.5,16.5,16.5,17,13,Planica,SLO,200,240,Day,Clear,2021,20210325,,
JP0014,14,https://www.youtube.com/watch?v=5xPgtLkaSus,Second LH title for Kraft | Men’s Large Hill | 2021 FIS Nordic World Ski Championships,FIS Ski Jumping,Stefan,Kraft,AUT,M,35,88.4,138.7,134,19,19.5,19.5,19,19,9,Oberstdorf,GER,120,137,Night,Snowing,2021,20210305,,
JP0015,15,https://www.youtube.com/watch?v=gsqewoJWC00,Lundby flies to gold | Women’s Large Hill | 2021 FIS Nordic World Ski Championships,FIS Ski Jumping,Maren,Lundby,NOR,W,34,93.2,156.8,130.5,19,18.5,18,18.5,18.5,23,Oberstdorf,GER,120,137,Night,Clear,2021,20210303,,
JP0016,16,https://www.youtube.com/watch?v=GRy_GATzvEk,Maiden individual World title for Zyla | Men’s Normal Hill | 2021 FIS Nordic World Ski Championships,FIS Ski Jumping,Piotr,Zyla,POL,M,45,86,130.1,102.5,18.5,18.5,18.5,18.5,18.5,12,Oberstdorf,GER,95,106,Day,LowClouds,2021,20210227,,
JP0017,17,https://www.youtube.com/watch?v=gNVByeEEmTw,Golden day for Klinec | Women’s Normal Hill | 2021 FIS Nordic World Ski Championships,FIS Ski Jumping,Ema,Klinec,SLO,W,36,89.7,137.9,100.5,18,18,17.5,18,18,24,Oberstdorf,GER,95,106,Night,Clear,2021,20210225,,
JP0018,18,https://www.youtube.com/watch?v=VgDIST_IMfA,Sara Takanashi | 1st place | Rasnov | Women's Normal Hill #2 | #rasnov2021 | FIS Ski Jumping,FIS Ski Jumping,Sara,Takanashi,JPN,W,53,86.4,119.4,99,18,17,17.5,18,18,20,Rasnov,ROU,90,97,Day,Clear,2021,20210219,,
JP0019,19,https://www.youtube.com/watch?v=vCKePSSh4Xc,Halvor Egner Granerud | 1st place | Zakopane | Large Hill #2 | FIS Ski Jumping,FIS Ski Jumping,HalvorEgner,Granerud,NOR,M,50,92.5,147.6,133,19,19,19,19,19,19,Zakopane,POL,125,140,Night,Clear,2021,20210214,,
JP0020,20,https://www.youtube.com/watch?v=bQNZ4vjGRyo,Robert Johansson | 1st place | Lahti | Large Hill | FIS Ski Jumpin,FIS Ski Jumping,Robert,Johansson,NOR,M,46,88.3,132.1,126.5,19,19,19,19,19,8,Lahti,FIN,116,130,Night,Fog,2021,20210124,,
JP0021,21,https://www.youtube.com/watch?v=q3JtL40l4so,Andrzej Stekala | 1st place | Willingen | Large Hill (Q) | FIS Ski Jumping,FIS Ski Jumping,Andrzej,Stekala,POL,M,42,88.6,135.9,152,18.5,17,17.5,18.5,18.5,11,Willingen,GER,130,147,Day,Overcast,2021,20210129,,
JP0022,22,https://www.youtube.com/watch?v=Bq9VJEeA6i8,Kamil Stoch | 1st place | Titisee | Large Hill | FIS Ski Jumping,FIS Ski Jumping,Kamil,Stoch,POL,M,48,88.9,143,144,19.5,19.5,19.5,19.5,20,5,TitiseeNeustadt,GER,125,142,Night,Clear,2021,20210109,,
JP0023,23,https://www.youtube.com/watch?v=gYiPEwcz38M,Dawid Kubacki | 1st place (144.0 mt. - New Hill record) | Garmisch | Large Hill | FIS Ski Jumping,FIS Ski Jumping,Dawid,Kubacki,POL,M,8,90.6,144.4,144,17.5,18.5,19,18.5,18.5,14,GarmischPartenkirchen,GER,125,142,Day,Overcast,2021,20210101,,
JP0024,24,https://www.youtube.com/watch?v=NgJteuR1w4s,Granerud increases winning streak | Engelberg | Men's Large Hill | FIS Ski Jumping,FIS Ski Jumping,HalvorEgner,Granerud,NOR,M,50,93.4,160.9,138,18,17,18,18,18,20,Engelberg,SUI,125,140,Night,Clear,2021,20201219,https://medias4.fis-ski.com/pdf/2021/JP/3047/2021JP3047RL.pdf,
JP0025,25,https://www.youtube.com/watch?v=MVfM4tnkFCY,Karl Geiger claims gold medal | Flying Hill | Day 2 | #Planica2020 | FIS Ski Jumping,FIS Ski Jumping,Karl,Geiger,GER,M,30,105.1,218,231.5,18.5,19,19,18.5,19,12,Planica,SLO,200,240,Night,Clear,2021,20201212,https://medias2.fis-ski.com/pdf/2021/JP/3002/2021JP3002RL.pdf,
JP0026,26,https://www.youtube.com/watch?v=5pmzsWw_1QM,Markus Eisenbichler | 1st place | Ruka | Large Hill | FIS Ski Jumping,FIS Ski Jumping,Markus,Eisenbichler,GER,M,50,86.5,155,141,17.5,16.5,17.5,16,16.5,11,Ruka,FIN,120,142,Night,Clear,2021,20201128,https://medias4.fis-ski.com/pdf/2021/JP/3040/2021JP3040RL.pdf,
JP0027,27,https://www.youtube.com/watch?v=TdSY_cLp9Ds,2nd place in Normal Hill for Manuela Malsiner - Zao - Ski Jumping - 2016/17,FIS Ski Jumping,Manuela,Malsiner,ITA,W,26,88.4,108.5,93,17.5,17.5,18,17,18,33,Zao,JPN,95,103,Night,Snowing,1617,20170120,https://medias2.fis-ski.com/pdf/2017/JP/3901/2017JP3901RL.pdf,
JP0028,28,https://www.youtube.com/watch?v=ttd54hvMAeQ,1st place for Daniel Andre Tande in Large Hill - Oslo - Ski Jumping - 2017/18,FIS Ski Jumping,DanielAndre,Tande,NOR,M,47,88.2,133.1,132,19,19,19,19,19,11,Oslo,NOR,120,134,Day,Snowing,1718,20180311,https://medias3.fis-ski.com/pdf/2018/JP/3135/2018JP3135RL.pdf,
JP0029,29,https://www.youtube.com/watch?v=j4nakAf5fSc,1st place in Large Hill for Domen Prevc - Klingenthal - Ski Jumping - 2016/17,FIS Ski Jumping,Domen,Prevc,SLO,M,49,91.1,146.2,141,18.5,18.5,18,18,18.5,18,Klingenthal,GER,125,140,Night,Clear,1617,20161204,https://medias2.fis-ski.com/pdf/2017/JP/3827/2017JP3827RL.pdf,
JP0030,30,https://www.youtube.com/watch?v=S6mi6o3NOEc,1st place for Robert Johansson in Flying Hill - Vikersund- Ski Jumping - 2017/1,FIS Ski Jumping,Robert,Johansson,NOR,M,37,101.9,223.9,246,15.5,17,15.5,16,16.5,14,Vikersund,NOR,200,240,Day,Clear,1718,20180318,https://medias3.fis-ski.com/pdf/2018/JP/3090/2018JP3090RL.pdf,
JP0031,31,https://www.youtube.com/watch?v=HQzJC5mLXy0,3rd place for Peter Prevc in Large Hill - Zakopane - Ski Jumping - 2017/18,FIS Ski Jumping,Peter,Prevc,SLO,M,36,89.9,131.1,134,18.5,18.5,18.5,19,18.5,13,Zakopane,POL,125,140,Night,Clear,1718,20180128,https://medias4.fis-ski.com/pdf/2018/JP/3078/2018JP3078RL.pdf,
JP0032,32,https://www.youtube.com/watch?v=f2fHrHnqQVM,2nd place in Normal Hill for Daniela Iraschko-Stolz - Nizhny Tagil - Ski Jumping - 2016/17,FIS Ski Jumping,Daniela ,IraschkoStolz,AUT,W,53,84.7,121.2,92,18,18,18,17.5,17.5,15,NizhnyTagil,RUS,90,97,Night,Clear,1617,20161210,https://medias4.fis-ski.com/pdf/2017/JP/3846/2017JP3846RL.pdf,
JP0033,33,https://www.youtube.com/watch?v=FFGuBYFfU3A,2nd place for Poland in Team Flying Hill - Vikersund - Ski Jumping - 2017/18,FIS Ski Jumping,Kamil,Stoch,POL,M,7,99.5,189.5,234,19,18.5,19,18.5,18,12,Vikersund,NOR,200,240,Day,Clear,1718,20180317,https://medias4.fis-ski.com/pdf/2018/JP/3089/2018JP3089RL.pdf,
JP0034,34,https://www.youtube.com/watch?v=ClGypwqzh0c,2nd place in Large Hill for Andreas Stjernen - Trondheim - Ski Jumping - 2016/17,FIS Ski Jumping,Andreas,Stjernen,NOR,M,38,92.8,146.8,138,19,18.5,19,19,19,14,Trondheim,NOR,124,140,Night,Clear,1617,20170316,https://medias3.fis-ski.com/pdf/2017/JP/3817/2017JP3817RL.pdf,
JP0035,35,https://www.youtube.com/watch?v=fhGnh2_xdqY,2nd place for Yuki Ito in Normal Hill #2 - Pyeongchang - Ski Jumping - 2016/17,FIS Ski Jumping,Yuki,Ito,JPN,W,31,86.5,124.6,111,17.5,16.5,17,17,17.5,24,PyeongChang,KOR,98,109,Day,Overcast,1617,20170216,https://medias4.fis-ski.com/pdf/2017/JP/3924/2017JP3924RL.pdf,
JP0036,36,https://www.youtube.com/watch?v=5HeCdvA-gfI,3rd place in Large Hill for Kamil Stoch - PyeongChang - Ski Jumping - 2016/17,FIS Ski Jumping,Kamil,Stoch,POL,M,50,88.9,139.7,134,19,19,19,18.5,18.5,20,PyeongChang,KOR,125,140,Night,Clear,1617,20170215,https://medias4.fis-ski.com/pdf/2017/JP/3921/2017JP3921RL.pdf,
JP0037,37,https://www.youtube.com/watch?v=O8SzSyTV_k0,3rd place for Sara Takanashi in Normal Hill #2 - Zao - Ski Jumping - 2017/18,FIS Ski Jumping,Sara,Takanashi,JPN,W,49,85.8,100.8,91,17,17,16.5,17,17,28,Zao,JPN,95,102,Night,Snowing,1718,20180121,https://medias1.fis-ski.com/pdf/2018/JP/3039/2018JP3039RL.pdf,
JP0038,38,https://www.youtube.com/watch?v=EHWQU02FfdE,3rd place in Large Hill for Stefan Kraft - Wisla- Ski Jumping - 2017/18,FIS Ski Jumping,Stefan,Kraft,AUT,M,50,89.6,129.3,124.5,18,18,17.5,18.5,18.5,11,Wisla,POL,120,134,Night,Clear,1718,20171119,https://medias4.fis-ski.com/pdf/2018/JP/3134/2018JP3134RL.pdf,
JP0039,39,https://www.youtube.com/watch?v=RNcESq7vfw4,2nd place for Richard Freitag in Large Hill #2 - Nizhny Tagil - Ski Jumping - 2017/18,FIS Ski Jumping,Richard,Freitag,GER,M,70,87.1,142,138,19,19,19.5,19,19,5,NizhnyTagil,RUS,120,134,Night,Clear,1718,20171203,https://medias3.fis-ski.com/pdf/2018/JP/3052/2018JP3052RL.pdf,
JP0040,40,https://www.youtube.com/watch?v=zmzK1nMBpMs,3rd place in Large Hill for Maren Lundby - Oslo - Ski Jumping - 2016/17,FIS Ski Jumping,Maren,Lundby,NOR,W,27,92.2,120.6,124.5,17.5,17.5,17,18,17.5,23,Oslo,NOR,120,134,Day,Fog,1617,20170312,https://medias4.fis-ski.com/pdf/2017/JP/3811/2017JP3811RL.pdf,
JP0041,41,https://www.youtube.com/watch?v=KUe4qG9Zs0c,1st place for Kamil Stoch in Large Hill - Trondheim - Ski Jumping - 2017/18,FIS Ski Jumping,Kamil,Stoch,POL,M,50,87.8,141.5,141,19.5,19.5,19,19.5,19.5,1,Trondheim,NOR,124,140,Night,Clear,1718,20180315,https://medias4.fis-ski.com/pdf/2018/JP/3087/2018JP3087RL.pdf,
JP0042,42,https://www.youtube.com/watch?v=c5-NT-0wHmw,3rd place for Norway in Team Large Hill - Lahti - Ski Jumping - 2017/18,FIS Ski Jumping,Robert,Johansson,NOR,M,12,88.5,148.7,126.5,18.5,19,19,18,18.5,7,Lahti,FIN,116,130,Night,Clear,1718,20180305,https://medias1.fis-ski.com/pdf/2018/JP/3141/2018JP3141RL.pdf,
JP0043,43,https://www.youtube.com/watch?v=x8_QqEHThqg,1st place for Maren Lundby in Normal Hill - Hinterzarten - Ski Jumping - 2017/18,FIS Ski Jumping,Maren,Lundby,NOR,W,39,89.4,134.5,102,18.5,18.5,18.5,17.5,18.5,23,Hinterzarten,GER,95,108,Night,Clear,1718,20171217,https://medias3.fis-ski.com/pdf/2018/JP/3030/2018JP3030RL.pdf,
JP0044,44,https://www.youtube.com/watch?v=dNTWLSDj6qM,3rd place for Sara Takanashi in Normal Hill - Hinterzarten - Ski Jumping - 2017/18,FIS Ski Jumping,Sara,Takanashi,JPN,W,38,88.2,128,100,18.5,18.5,18,17.5,17.5,22,Hinterzarten,GER,95,108,Night,Clear,1718,20171217,https://medias3.fis-ski.com/pdf/2018/JP/3030/2018JP3030RL.pdf,
JP0045,45,https://www.youtube.com/watch?v=-yPnJIcuRwI,1st place in Large Hill for Andreas Wellinger - Willingen - Ski Jumping - 2016/17,FIS Ski Jumping,Andreas,Wellinger,GER,M,40,87.8,108.9,135,18.5,18.5,19,18,18,9,Willingen,GER,130,147,Day,Clear,1617,20170129,https://medias2.fis-ski.com/pdf/2017/JP/3838/2017JP3838RL.pdf,
JP0046,46,https://www.youtube.com/watch?v=0H7PDodsSfE,1st place in Normal Hill #2 for Katharina Althaus - Ljubno - Ski Jumping - 2016/17,FIS Ski Jumping,Katharina,Althaus,GER,W,51,83.5,125.2,90,18.5,18,18,18.5,18.5,15,Ljubno,SLO,85,94,Day,LowClouds,1617,20170212,https://medias3.fis-ski.com/pdf/2017/JP/3941/2017JP3941RL.pdf,
JP0047,47,https://www.youtube.com/watch?v=EKgtoCIQazk,1st place in Large Hill for Stefan Kraft - PyeongChang - Ski Jumping - 2016/17,FIS Ski Jumping,Stefan,Kraft,AUT,M,49,89.6,145.1,137.5,18.5,18.5,19,19,18.5,20,PyeongChang,KOR,125,140,Night,Clear,1617,20170215,https://medias4.fis-ski.com/pdf/2017/JP/3921/2017JP3921RL.pdf,
JP0048,48,https://www.youtube.com/watch?v=ueGkbcQQc9s,3rd place in Normal Hill for Ema Klinec - PyeongChang - Ski Jumping - 2016/17,FIS Ski Jumping,Ema,Klinec,SLO,W,29,88.8,108.5,96,17,18,17.5,17.5,17,32,PyeongChang,KOR,98,109,Night,Clear,1617,20170215,https://medias3.fis-ski.com/pdf/2017/JP/3922/2017JP3922RL.pdf,
JP0049,49,https://www.youtube.com/watch?v=MZVaD_Y9jrA,1st place for Richard Freitag in Large Hill - Titisee-Neustadt - Ski Jumping - 2017/18,FIS Ski Jumping,Richard,Freitag,GER,M,50,91.6,128.4,145,16.5,16,16,16.5,15.5,12,TitiseeNeustadt,GER,125,142,Night,Clear,1718,20171210,https://medias1.fis-ski.com/pdf/2018/JP/3055/2018JP3055RL.pdf,
JP0050,50,https://www.youtube.com/watch?v=l6lnBARVsNk,2nd place for Yuki Ito in Normal Hill #2 - Lillehammer - Ski Jumping - 2016/17,FIS Ski Jumping,Yuki,Ito,JPN,W,63,86,127.2,95,19,18,19,18,18.5,13,Lillehammer,NOR,90,98,Night,Clear,1617,20161203,https://medias2.fis-ski.com/pdf/2017/JP/3808/2017JP3808RL.pdf,
JP0051,51,https://www.youtube.com/watch?v=-PlC3vQp0jY,Nika Kriznar | Ladies’ Large Hill | Chaikovsy | BBT | 3rd place | FIS Ski Jumping,FIS Ski Jumping,Nika,Kriznar,SLO,W,25,91.8,133.1,140.5,16.5,16,16,16.5,16.5,22,Chaikovsky,RUS,125,140,Day,Clear,1819,20190324,https://medias4.fis-ski.com/pdf/2019/JP/3085/2019JP3085RL.pdf,
JP0052,52,https://www.youtube.com/watch?v=g1fU-0M21Rs,2nd place for Maren Lundby in Large Hill - Lillehammer - Ski Jumping - 2017/18,FIS Ski Jumping,Maren,Lundby,NOR,W,29,93.7,145,139,18,17,18,17,17,12,Lillehammer,NOR,123,140,Day,Clear,1718,20171203,https://medias3.fis-ski.com/pdf/2018/JP/3136/2018JP3136RL.pdf,
JP0053,53,https://www.youtube.com/watch?v=yl7M0SSvXWI,1st place in Large Hill for Domen Prevc - Lillehammer - Ski Jumping - 2016/17,FIS Ski Jumping,Domen,Prevc,SLO,M,50,91.3,146,141.5,17.5,18,16.5,17,16,8,Lillehammer,NOR,123,140,Night,Clear,1617,20161210,https://medias2.fis-ski.com/pdf/2017/JP/3845/2017JP3845RL.pdf,
JP0054,54,https://www.youtube.com/watch?v=xGIvB9sC4T8,2nd place in Flying Hill for Noriaki Kasai - Vikersund- Ski Jumping - 2016/17,FIS Ski Jumping,Noriaki,Kasai,JPN,M,28,96.8,231.5,241.5,18.5,19,19,19,19,9,Vikersund,NOR,200,240,Day,Overcast,1617,20170319,https://medias2.fis-ski.com/pdf/2017/JP/3820/2017JP3820RL.pdf,
JP0055,55,https://www.youtube.com/watch?v=hieu0GWuU70,3rd place for Michael Hayboeck in Large Hill - Oslo - Ski Jumping - 2017/18,FIS Ski Jumping,Michael,Hayboeck,AUT,M,30,88.2,123.6,130.5,18.5,18,18.5,18,18,11,Oslo,NOR,120,134,Day,Overcast,1718,20180311,https://medias3.fis-ski.com/pdf/2018/JP/3135/2018JP3135RL.pdf,
JP0056,56,https://www.youtube.com/watch?v=VU4Sfre6E1E,2nd place for Chiara Hoelzl in Normal Hill - Zao - Ski Jumping - 2017/18,FIS Ski Jumping,Chiara,Hoelzl,AUT,W,51,86.3,109.9,94,17,17.5,17,18,17.5,29,Zao,JPN,95,102,Night,Clear,1718,20180129,https://medias3.fis-ski.com/pdf/2018/JP/3038/2018JP3038RL.pdf,
JP0057,57,https://www.youtube.com/watch?v=eL-OqlFvY_w,1st place in Large Hill for Peter Prevc - Sapporo - Ski Jumping - 2016/17,FIS Ski Jumping,Peter,Prevc,SLO,M,39,87.5,130.7,134,18.5,18.5,18.5,18,18.5,10,Sapporo,JPN,123,137,Night,Clear,1617,20170211,https://medias3.fis-ski.com/pdf/2017/JP/3906/2017JP3906RL.pdf,
JP0058,58,https://www.youtube.com/watch?v=BP4PD1opirE,1st place for Kamil Stoch in Large Hill #2 - Sapporo - Ski Jumping - 2016/17,FIS Ski Jumping,Kamil,Stoch,POL,M,63,86.6,132.1,140,19,19,19,19,19,8,Sapporo,JPN,123,137,Day,Snowing,1617,20170212,https://medias4.fis-ski.com/pdf/2017/JP/3907/2017JP3907RL.pdf,
JP0059,59,https://www.youtube.com/watch?v=hDnzTmSvZdw,3rd place in Flying Hill #2 for Jurij Tepes - Oberstdorf - Ski Jumping - 2016/17,FIS Ski Jumping,Jurij,Tepes,SLO,M,31,104.2,215.1,228,19.5,19.5,18.5,19,19,26,Oberstdorf,GER,200,225,Day,Overcast,1617,20170205,https://medias4.fis-ski.com/pdf/2017/JP/3841/2017JP3841RL.pdf,
JP0060,60,https://www.youtube.com/watch?v=9X4wenifVc0,2nd place in Flying Hill for Andreas Wellinger - Oberstdorf - Ski Jumping - 2016/17,FIS Ski Jumping,Andreas,Wellinger,GER,M,32,104.2,212.7,222.5,19,18.5,19,19,19,26,Oberstdorf,GER,200,225,Night,Clear,1617,20170204,https://medias1.fis-ski.com/pdf/2017/JP/3840/2017JP3840RL.pdf,
JP0061,61,https://www.youtube.com/watch?v=Luz0CrwnQqs,1st place in Flying Hill #2 for Stefan Kraft - Oberstdorf - Ski Jumping - 2016/17,FIS Ski Jumping,Stefan,Kraft,AUT,M,50,103.1,232.6,235.5,19,19.5,19.5,19,19,23,Oberstdorf,GER,200,225,Day,Overcast,1617,20170205,https://medias4.fis-ski.com/pdf/2017/JP/3841/2017JP3841RL.pdf,
