seq_names;SC;ARC;LR;FM;CM;FOC;POC;IV;BC;MB
JP0001_0;1.0;1.0;0.0;0.0;0;0;1;0;0;1
JP0001_1;1.0;1.0;0.0;0.0;0;0;1;0;1;0
JP0001_2;0.0;0.0;0.0;0.0;0;0;1;0;0;1
JP0002_0;1.0;1.0;1.0;1.0;1;0;1;0;0;1
JP0002_1;1.0;1.0;0.0;0.0;0;0;0;0;1;1
JP0002_2;0.0;0.0;0.0;0.0;0;0;1;0;0;0
JP0003_0;1.0;1.0;0.0;0.0;0;0;1;0;0;1
JP0003_1;1.0;1.0;0.0;0.0;0;0;0;0;1;1
JP0003_2;0.0;0.0;0.0;0.0;0;0;0;1;0;0
JP0004_0;1.0;1.0;0.0;0.0;0;0;1;0;0;0
JP0004_1;1.0;1.0;1.0;1.0;1;0;1;0;0;1
JP0004_2;1.0;1.0;0.0;1.0;0;0;0;1;0;1
JP0004_3;0.0;0.0;0.0;0.0;0;0;0;0;0;0
JP0005_0;1.0;1.0;0.0;0.0;0;0;1;0;0;1
JP0005_1;1.0;1.0;1.0;1.0;1;0;1;0;1;1
JP0005_2;1.0;1.0;0.0;1.0;0;0;0;0;1;1
JP0005_3;1.0;0.0;0.0;0.0;0;0;0;0;0;0
JP0006_0;0.0;0.0;0.0;0.0;0;0;1;0;0;0
JP0006_1;1.0;1.0;0.0;1.0;1;0;0;1;0;1
JP0006_2;1.0;1.0;0.0;0.0;0;0;0;0;1;1
JP0006_3;0.0;0.0;0.0;0.0;0;0;0;0;0;0
JP0007_0;0.0;0.0;0.0;0.0;0;0;1;0;0;0
JP0007_1;1.0;1.0;0.0;0.0;1;0;1;0;0;1
JP0007_2;1.0;1.0;0.0;1.0;0;0;1;0;0;0
JP0007_3;1.0;1.0;0.0;0.0;0;0;0;0;1;1
JP0007_4;1.0;0.0;0.0;0.0;0;0;1;0;0;0
JP0008_0;1.0;1.0;0.0;1.0;0;1;1;0;0;1
JP0008_1;1.0;1.0;1.0;1.0;1;0;0;0;0;1
JP0009_0;0.0;0.0;0.0;0.0;0;0;0;0;0;0
JP0009_1;1.0;1.0;0.0;0.0;1;0;0;0;0;1
JP0009_2;1.0;1.0;0.0;0.0;0;0;0;0;0;0
